"Protein"	"Organism"	"AA_1.Intensity"	"AA_2.Intensity"	"AA_3.Intensity"	"AB_1.Intensity"	"AB_2.Intensity"	"AB_3.Intensity"	"AG_1.Intensity"	"AG_2.Intensity"	"AG_3.Intensity"	"BA_1.Intensity"	"BA_2.Intensity"	"BA_3.Intensity"	"BB_1.Intensity"	"BB_2.Intensity"	"BB_3.Intensity"	"BG_1.Intensity"	"BG_2.Intensity"	"BG_3.Intensity"
"sp|A0A024R1R8|TMA7B_HUMAN"	"HUMAN"	51846.61	72877.086	83984.69	40601.293	57009.33	61700.684	31421.086	75834.336	72178.24	47496.867	76757.03	65844.31	50344.742	73702.33	67677.62	43900.92	71931.83	73034.4
"sp|A0A0B4J2D5|GAL3B_HUMAN"	"HUMAN"	622843.9	532417.7	535880.9	788114.8	688220.06	371415.28	623578.2	645332.7	442891.1	721126.6	645789.06	484769.78	818613.1	484373.1	572233.5	586573.06	645327.5	553809.1
"sp|A0A804HLA8|GBG5B_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|A0AVT1|UBA6_HUMAN"	"HUMAN"	1349192	1252996.2	1545946	1799018.9	1735215	1186511.2	1853583.8	1508838.6	1733051.6	1894822.5	1715498.9	836721.25	1868107	1837212.5	1290965.6	1474098.8	2178361.5	867493.7
"sp|A0MZ66|SHOT1_HUMAN"	"HUMAN"	0	0	0	0	192818.02	223023.06	242513.67	158957.66	0	0	0	0	0	0	0	0	0	0
"sp|A1L429|GG12C_HUMAN"	"HUMAN"	487987.1	744271.25	827671	494425.7	705420.06	732296.94	487455.56	733948.1	744278.94	566054.94	891209.56	762467.75	480571.06	724315.3	760266.5	778692.5	715482.06	764702.9
"sp|A2RRP1|NBAS_HUMAN"	"HUMAN"	62165.78	0	85702.56	50746.625	137787.28	123078.25	56120.035	60551.43	48676.58	126950.81	0	143571.39	132814.5	0	62633.19	73717.086	0	77154.54
"sp|A3KN83|SBNO1_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|A4D1E9|GTPBA_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|A5YKK6|CNOT1_HUMAN"	"HUMAN"	882516.8	482906.03	320177.8	393864.3	0	408650.22	398968.84	74074.8	47417.066	294336.03	134461.47	262091.2	160990	430333	338064.3	115716.31	323274.8	0
"sp|A6NCE7|MP3B2_HUMAN"	"HUMAN"	199802.39	203894.14	198928.22	211497.86	259404.64	226834.33	206303.25	194938.25	260221.33	194765.5	255212.58	144057.61	229890.52	229482.72	208852.9	261770.5	225480.22	230859.28
"sp|A6NDG6|PGP_HUMAN"	"HUMAN"	359410.62	242940.69	367483.38	215568	397103.62	403553.97	357907.5	399515.06	250725.14	373215.94	410952.12	256789.6	373741	446091.84	493860.2	241862.62	416228	430997.12
"sp|A6NDU8|RIMC1_HUMAN"	"HUMAN"	0	0	179035.98	0	96596.32	181764.8	191775.89	158434.77	182449.44	0	192888.92	0	243873.1	0	0	183442.9	153238.75	182550.12
"sp|A6NHL2|TBAL3_HUMAN"	"HUMAN"	1008736.5	1389166.1	870893.1	1113509.5	699190.7	662000.75	1502875.9	516725.75	1767431.1	1834210.6	1960366.2	1827289.5	2093384.9	2003931.2	2182823.8	1685221.9	2171730.5	2236079.2
"sp|A6NHR9|SMHD1_HUMAN"	"HUMAN"	1033039.1	1119110.1	1620866.1	1476797.8	860167.7	956092.8	2324864	1011633.25	1874558.9	1851849	786819.2	1398745.2	834379.6	2252124.2	2198138.5	2405049.8	2416549.8	2236476.2
"sp|A8MWD9|RUXGL_HUMAN"	"HUMAN"	3007519	2964813	3088382	2963162.5	2896253	3063890.5	3136315	3061191.5	3134209.8	2827105.5	2916330	3118815.5	2883098	2894103.2	3153252.5	3151675.8	2916921.2	3028013
"sp|A8MXV4|NUD19_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	0	255140.72	0	232598.5	0	242148.86	317435.9	171879.69
"sp|B5ME19|EIFCL_HUMAN"	"HUMAN"	2353678	2404141	3253225.2	2851807.5	2283876.5	2863725	2562137	2922042	2918478.8	2425110.2	3130620.2	2828317	2739603.8	3046978.5	2541973.8	3017506.8	2971194.8	2714705
"sp|E9PAV3|NACAM_HUMAN"	"HUMAN"	6850281.5	7464766	6876202.5	6711276.5	6566552	6404213	6955494.5	6142066.5	6718444.5	6008533	7165026	6691160	6904662	6500714.5	6851680	7147697	6655210	7053760
"sp|E9PRG8|CK098_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
